vote_count,vote_average,show_id
278,7.4,84969
278,7.534,100617
278,7.311,129495
277,7.334,60905
277,7.2,12970
277,8.3,67667
277,8.301,21631
277,8.2,85844
276,8.284,78173
276,7.911,132141
276,7.375,133723
276,8.076,65292
275,8.2,61695
275,7.9,4598
275,7.982,1570
275,7.427,63646
275,7.0,103435
275,8.145,39218
274,8.068,17438
274,7.6,90602
274,8.3,194583
274,8.073,110695
273,8.3,61602
273,7.458,19125
273,7.5,77568
273,8.119,61720
272,8.138,958
272,8.0,97951
272,6.91,19566
272,7.866,62917
271,7.417,97539
271,7.3,61381
271,7.8,62320
271,6.753,2567
271,7.911,17463
270,7.952,111616
270,8.1,45845
270,8.398,67676
269,7.5,10268
269,7.6,12568
269,7.671,4303
269,7.7,78122
268,7.455,43016
268,8.0,61415
268,7.261,43284
268,7.597,44914
268,7.578,64199
267,6.901,39362
267,6.7,65784
267,7.4,94951
267,8.026,12504
267,8.3,95314
267,7.189,93736
266,7.28,51370
266,7.925,90257
266,6.519,1480
265,8.166,60956
265,7.87,1450
265,8.366,99048
264,7.521,95249
264,8.6,110309
264,7.394,96481
263,7.637,1097
263,8.196,195670
263,7.378,81879
262,8.254,87539
262,7.5,32778
262,7.954,95603
261,7.251,127571
261,7.67,73925
261,8.125,1813
261,8.224,115577
260,7.085,2359
260,7.498,114705
260,7.2,117030
260,8.481,73488
260,8.5,97890
260,7.0,61378
260,7.665,114165
259,7.6,69295
259,7.736,33213
259,7.7,135647
259,8.49,68854
258,8.006,61244
258,6.996,105213
258,8.55,93019
258,7.609,418
258,8.016,80563
258,6.0,79
258,8.4,63314
257,7.6,8803
257,7.451,7704
257,7.862,66980
257,7.967,12536
256,7.984,103786
256,6.9,221300
256,8.025,111625
256,7.775,93292
255,7.82,66761
255,7.3,120587
255,6.994,49157
254,7.752,31687
254,7.3,7831
254,7.6,10926
254,7.266,3319
254,8.238,104699
253,6.561,39510
253,7.1,670
253,7.484,101512
252,7.683,61314
252,7.52,657
251,7.066,80335
251,6.7,60741
251,7.446,2397
251,7.586,42154
250,7.0,97609
250,6.86,64555
250,7.482,73126
